PWSID,PWSName,State,Size,FacilityWaterType,Contaminant,AnalyticalResultValue,AnalyticalResultsSign,MRL,Units,CollectionDate,Region
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFUnA,,<,0.002,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,ADONA,,<,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,9Cl-PF3ONS,,<,0.002,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFHpS,,<,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFPeS,,<,0.004,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,NFDHA,,<,0.02,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFEESA,,<,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFMBA,,<,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFPeA,0.0034,=,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFMPA,,<,0.004,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,8:2 FTS,,<,0.005,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,4:2 FTS,,<,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,6:2 FTS,,<,0.005,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,HFPO-DA,,<,0.005,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,11Cl-PF3OUdS,,<,0.005,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFTrDA,,<,0.007,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFHxA,0.004,=,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFDoA,,<,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFDA,,<,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFOA,0.0047,=,0.004,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFOS,,<,0.004,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFNA,,<,0.004,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFHxS,0.0054,=,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFHpA,,<,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFBS,,<,0.003,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,lithium,,<,9.0,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,NMeFOSAA,,<,0.006,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,NEtFOSAA,,<,0.005,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFTA,,<,0.008,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFBA,,<,0.005,µg/L,7/9/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFHxA,0.0053,=,0.003,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,lithium,,<,9.0,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,NMeFOSAA,,<,0.006,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,NEtFOSAA,,<,0.005,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFBS,,<,0.003,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFHpA,,<,0.003,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFHxS,0.0073,=,0.003,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFNA,,<,0.004,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFOS,,<,0.004,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFOA,0.0043,=,0.004,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFDoA,,<,0.003,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,PFUnA,,<,0.002,µg/L,10/2/2024,2
NJ0102001,ATLANTIC CITY MUA,NJ,L,SW,11Cl-PF3OUdS,,<,0.005,µg/L,10/2/2024,2
