ZIPCODE,State,City,Metro,CountyName,zhvi
08701,NJ,Lakewood,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,528001.198927269
07055,NJ,Passaic,"New York-Newark-Jersey City, NY-NJ-PA",Passaic County,528951.8127635985
07305,NJ,Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,549833.4969723378
07087,NJ,Union City,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,506978.4146887906
08753,NJ,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,517253.8233635485
08854,NJ,Piscataway,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,563800.9276167847
07093,NJ,West New York,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,438920.4425492918
07047,NJ,North Bergen Township,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,565547.1681703259
07002,NJ,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,578074.9484615728
07111,NJ,Irvington,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,408892.32274288574
08527,NJ,Jackson,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,614091.8752040596
07728,NJ,Freehold,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,621017.4297725408
08861,NJ,Perth Amboy,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,479294.03846968507
08901,NJ,New Brunswick,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,439987.6765221288
07083,NJ,Union,"New York-Newark-Jersey City, NY-NJ-PA",Union County,547327.6917115451
07306,NJ,Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,542035.1240745606
08873,NJ,Somerset,"New York-Newark-Jersey City, NY-NJ-PA",Somerset County,553992.8365798417
08831,NJ,Monroe Township,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,586774.1730573644
07470,NJ,Wayne,"New York-Newark-Jersey City, NY-NJ-PA",Passaic County,693614.648150728
07104,NJ,Newark,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,512414.2841024899
07105,NJ,Newark,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,561278.2734925385
08540,NJ,Princeton,"Trenton-Princeton, NJ",Mercer County,935576.4673937564
07030,NJ,Hoboken,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,854368.0354802246
07003,NJ,Bloomfield,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,582757.3291699187
08081,NJ,Sicklerville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,362589.01947881817
08302,NJ,Bridgeton,"Vineland-Bridgeton, NJ",Cumberland County,249177.31264619203
08816,NJ,East Brunswick,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,589701.081343386
