ZIPCODE,NAME,total_pop,pct_white,pct_black,pct_native,pct_asian,pct_pacific_islander,pct_hispanic,pct_nonhispanic_white,hh_total,hh_less_than_10k,hh_10k_to_15k,hh_15k_to_25k,hh_25k_to_35k,hh_35k_to_50k,hh_50k_to_75k,hh_75k_to_100k,hh_100k_to_150k,hh_150k_to_200k,hh_200k_or_more,hh_median_income,hh_mean_income,pct_poc,zhvi,max_pfas,mean_pfas,total_detections,num_contaminants
07001,ZCTA5 07001,17121,45.1,34.4,1.4,17.0,0.0,25.3,27.9,5615,4.0,1.2,3.2,4.5,11.0,9.7,15.0,22.6,9.7,19.0,101670,125172,54.9,498164.455781928,,,,
07002,ZCTA5 07002,71553,65.5,17.3,1.5,10.2,0.1,32.1,42.5,28951,4.9,4.7,6.0,6.7,8.2,14.5,14.8,19.5,8.2,12.6,83887,106298,34.5,578074.9484615728,0.0046,0.00016375,3.0,20.0
07003,ZCTA5 07003,53771,56.5,20.1,1.7,11.0,0.0,30.9,37.4,21215,2.7,2.0,4.9,5.5,5.6,14.8,12.6,20.0,12.6,19.1,103663,139365,43.5,582757.3291699187,0.0053,8e-05,4.0,20.0
07004,ZCTA5 07004,7824,94.7,1.8,0.2,4.2,0.2,11.7,82.2,3039,6.3,0.0,2.5,4.5,3.6,5.0,16.0,23.8,15.1,23.1,115980,145876,5.299999999999997,770204.2155529688,0.0115,0.00141375,17.0,20.0
07005,ZCTA5 07005,15307,86.6,5.3,1.5,8.7,0.2,11.6,74.1,5801,5.4,0.8,3.7,5.2,3.7,7.1,11.8,17.6,16.1,28.6,132629,168824,13.400000000000006,691455.4331793509,0.0111,0.0009619289340101523,36.0,20.0
07006,ZCTA5 07006,26654,84.6,5.2,1.3,11.2,0.2,12.7,72.0,10074,3.5,0.6,2.4,3.0,5.6,9.6,9.2,16.2,13.7,36.1,149102,196078,15.400000000000006,807492.0629393406,0.0423,0.0011405,69.0,20.0
07008,ZCTA5 07008,25526,34.7,24.5,1.6,27.3,0.2,34.3,18.7,8230,4.2,2.9,4.3,3.0,8.9,17.0,11.3,19.7,14.9,13.7,97021,121147,65.3,523086.60427457985,0.0073,0.0002515,11.0,20.0
07009,ZCTA5 07009,13535,85.1,4.9,0.7,10.2,0.4,7.9,76.1,4992,5.2,0.3,2.7,2.8,4.4,7.2,6.1,20.0,19.1,32.3,151625,184350,14.900000000000006,731485.4798077065,0.0423,0.00050625,15.0,20.0
07010,ZCTA5 07010,25781,63.5,5.8,4.6,15.5,0.0,34.5,41.4,10609,4.4,4.1,4.3,5.6,10.4,14.9,8.6,22.4,9.1,16.3,93452,121080,36.5,606978.1962323772,0.014,0.0011375,48.0,20.0
07011,ZCTA5 07011,38587,62.7,9.4,1.1,5.2,0.3,55.0,33.6,13771,5.9,3.7,7.7,6.1,11.3,15.7,10.2,20.7,9.8,8.9,74194,94396,37.3,548756.7240348505,0.0119,0.00197875,23.0,20.0
