PWSID,PWS_Name,Population_Served_Count,max_pfas,mean_pfas,total_detections,pws_name,exceeds_mcl_max,exceeds_mcl_mean,total_facilities,n_airports,n_airports_(part_139),n_cement_mfg,n_chemical_mfg,n_cleaning_product_mfg,n_consumer_products,n_electronics_industry,n_fire_protection,n_fire_training,n_furniture_and_carpet,n_glass_products,n_industrial_gas,n_metal_coating,n_metal_machinery_mfg,n_mining_and_refining,n_national_defense,n_oil_and_gas,n_paints_and_coatings,n_paper_mills_and_products,n_petroleum,n_plastics_and_resins,n_printing,n_textiles_and_leather,n_waste_management,has_facility,pct_poc,pct_black,pct_hispanic,pct_nonhispanic_white,hh_median_income,total_pop
NJ0107001,NJAW EGG HARBOR CITY,4900.0,0.0,0.0,0.0,EGG HARBOR CITY WATER DEPT,False,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,23.0,20.5,15.0,64.3,80893.0,13545.0
NJ0436008,WINSLOW TWP DMU,172.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
NJ0111007,SWAN LAKE RESORT,70.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
NJ1714001,COUNTRY CLUB ESTATES,300.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
NJ1530005,STAFFORD TWP MUA FAWN LA,1740.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
NJ0804001,LAUX LAKEVIEW MOBILE H P INC,291.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
NJ1710001,HARDING WOODS MHP,1276.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
NJ1714003,BANCROFT NEURO HEALTH CENTER,142.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
NJ1533002,PINEWOOD ESTATES-BRIGHTN,1493.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
NJ1517006,LONG BEACH TWP HIGH BAR HARBOR,1230.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
