ZIPCODE,max_pfas,mean_pfas,total_detections,num_contaminants,NAME,total_pop,pct_white,pct_black,pct_native,pct_asian,pct_pacific_islander,pct_hispanic,pct_nonhispanic_white,pct_minority
07002,0.0046,0.00016375,3,20,ZCTA5 07002,71553,65.5,17.3,1.5,10.2,0.1,32.1,42.5,57.5
07003,0.0053,8e-05,4,20,ZCTA5 07003,53771,56.5,20.1,1.7,11.0,0.0,30.9,37.4,62.6
07004,0.0115,0.00141375,17,20,ZCTA5 07004,7824,94.7,1.8,0.2,4.2,0.2,11.7,82.2,17.799999999999997
07005,0.0111,0.0009619289340101523,36,20,ZCTA5 07005,15307,86.6,5.3,1.5,8.7,0.2,11.6,74.1,25.900000000000006
07006,0.0423,0.0011405,69,20,ZCTA5 07006,26654,84.6,5.2,1.3,11.2,0.2,12.7,72.0,28.0
07008,0.0073,0.0002515,11,20,ZCTA5 07008,25526,34.7,24.5,1.6,27.3,0.2,34.3,18.7,81.3
07009,0.0423,0.00050625,15,20,ZCTA5 07009,13535,85.1,4.9,0.7,10.2,0.4,7.9,76.1,23.900000000000006
07010,0.014,0.0011375,48,20,ZCTA5 07010,25781,63.5,5.8,4.6,15.5,0.0,34.5,41.4,58.6
07011,0.0119,0.00197875,23,20,ZCTA5 07011,38587,62.7,9.4,1.1,5.2,0.3,55.0,33.6,66.4
07012,0.0119,0.00197875,23,20,ZCTA5 07012,14653,73.4,9.1,1.7,12.4,0.4,25.4,56.1,43.9
07013,0.0119,0.00197875,23,20,ZCTA5 07013,30811,72.5,4.2,0.9,13.1,0.0,27.4,55.5,44.5
07014,0.0119,0.00197875,23,20,ZCTA5 07014,4975,74.3,4.1,0.0,11.7,0.0,34.8,51.3,48.7
07016,0.0075,0.00025416666666666665,19,20,ZCTA5 07016,24074,91.9,3.2,0.7,3.7,0.0,8.2,84.0,16.0
07017,0.0053,0.00012000000000000002,4,20,ZCTA5 07017,40910,5.9,84.6,1.8,2.0,0.3,12.4,2.2,97.8
07018,0.013,0.00062,3,20,ZCTA5 07018,28924,4.7,88.5,0.5,2.1,0.1,9.2,1.6,98.4
07020,0.014,0.0011375,48,20,ZCTA5 07020,14759,52.6,5.8,0.3,41.2,0.0,16.6,36.9,63.1
07021,0.0423,0.00117125,9,20,ZCTA5 07021,2361,89.9,4.1,0.2,8.8,0.0,11.1,75.8,24.200000000000003
07022,0.014,0.0011375,48,20,ZCTA5 07022,15099,60.6,2.3,2.2,7.0,0.0,65.8,25.8,74.2
07023,0.0075,0.00025416666666666665,19,20,ZCTA5 07023,7799,86.7,9.9,1.6,9.8,0.0,11.2,69.4,30.599999999999994
07024,0.014,0.0011375,48,20,ZCTA5 07024,40024,48.3,4.5,0.8,45.7,0.2,13.4,37.3,62.7
07026,0.0236,0.0009425,22,20,ZCTA5 07026,32783,70.0,9.8,0.9,4.0,0.1,47.3,41.8,58.2
07027,0.0075,0.00025416666666666665,19,20,ZCTA5 07027,4885,76.0,0.8,0.1,7.3,0.0,21.2,63.3,36.7
07028,0.0082,0.00028571428571428574,7,20,ZCTA5 07028,8022,87.7,5.9,0.4,9.0,0.0,10.7,74.1,25.900000000000006
07029,0.0088,0.00079875,10,20,ZCTA5 07029,22866,47.6,6.2,2.0,22.2,0.0,42.6,26.4,73.6
07030,0.014,0.001068796992481203,50,20,ZCTA5 07030,58668,80.1,5.9,0.5,14.6,0.0,13.4,65.5,34.5
07031,0.0114,0.0012975,17,20,ZCTA5 07031,16461,74.7,6.5,1.6,10.7,0.2,30.3,52.7,47.3
07032,0.0048,0.00014516129032258063,2,20,ZCTA5 07032,40614,61.8,8.3,1.6,5.9,0.4,51.7,30.7,69.3
