GEOID20,PWSID,Tract_Km,Tract_I_Km,Area_Weight,Pop20_AW,Tract_Buildings,Tract_O_Buildings,Bldg_Weight,Pop20_BW
01001020100,AL0000017,9.825304,6.8677635739950755,0.6989873874635407,1241,876,838,0.95662100456621,1698
01001020200,AL0000017,3.320818,3.2261572157432807,0.9714947388695439,1996,966,946,0.979296066252588,2012
01001020300,AL0000017,5.349271,5.0050625554148125,0.9356532049721938,3009,1497,1496,0.9993319973279893,3214
01001020400,AL0000017,6.384282,5.945533468000477,0.9312767618974972,3954,2027,2003,0.9881598421312284,4196
01001020501,AL0000017,6.203654,5.074250381866422,0.817945420854616,3535,1946,1820,0.935251798561151,4042
01001020502,AL0000017,2.09739,2.0977657734749795,1.0001791624232879,3285,977,977,1,3284
01001020503,AL0000017,3.107823,3.0372048174218054,0.9772772829796953,3534,1003,996,0.9930209371884346,3591
01001020600,AL0000017,8.041611,7.711401812594588,0.9589374333817674,3576,1724,1698,0.9849187935034803,3673
01001020700,AL0000017,22.411848,9.745254293597908,0.43482600335313304,1482,1726,1635,0.9472769409038239,3229
01001020801,AL0000017,124.272664,5.922090557172923,0.047654008263417626,150,1524,408,0.2677165354330709,841
01001020803,AL0000001,129.030127,5.994922621662216,0.046461417663040946,215,2657,298,0.11215656755739556,520
01001020803,AL0000013,129.030127,0.32507595701968506,0.0025193802763573588,12,2657,115,0.04328189687617614,201
01001020803,AL0000017,129.030127,0.0015586951697867482,1.208008707754545e-5,0,2657,0,0,0
01001020804,AL0000013,26.378238,0.6125008341002356,0.023219929780762292,141,2625,62,0.02361904761904762,143
01001020804,AL0000017,26.378238,11.968607434718841,0.45373036040992737,2751,2625,2247,0.856,5191
01001020805,AL0000013,35.437301,7.700721408403259,0.21730552810450376,678,1693,690,0.4075605434140579,1272
01001020805,AL0000535,35.437301,0.0010902048332304657,3.0764330309197805e-5,0,1693,0,0,0
01001020901,AL0000013,105.25224,8.688088248954228,0.08254539997395047,270,2142,487,0.22735760971055088,743
01001020902,AL0000013,187.504577,1.7571319626400446,0.009371141711596963,29,2473,103,0.041649818034775576,129
01001020902,AL0001071,187.504577,0.9981831810786025,0.005323513681901228,16,2473,19,0.007682976142337242,24
01001021000,AL0000003,386.865283,2.900665979339831,0.007497870981976512,20,2465,141,0.05720081135902637,151
01001021000,AL0001750,386.865283,7.895588017008412e-4,2.0409140762854167e-6,0,2465,0,0,0
01001021100,AL0000002,478.151753,4.147500123325601,0.008674024715591916,28,2431,378,0.15549156725627314,495
01001021100,AL0001750,478.151753,0.45379118941586133,9.490526523613129e-4,3,2431,25,0.010283833813245578,33
01003010200,AL0000023,221.797187,2.8511719844247856,0.012854860888856925,39,2102,241,0.11465271170313987,344
01003010300,AL0000023,343.037978,12.315734902202099,0.03590195748589125,301,5078,786,0.15478534856242615,1297
01003010300,AL0000068,343.037978,5.804939952849857,0.016922149514447805,142,5078,306,0.06025994486018117,505
01003010400,AL0000023,737.472734,4.530011278781807,0.0061426152723116235,35,4556,502,0.11018437225636524,630
01003010400,AL0000048,737.472734,4.354334939344109,0.005904401259320469,34,4556,336,0.07374890254609306,422
01003010500,AL0000023,17.424883,13.968604924339306,0.8016469851957861,3888,2396,2186,0.9123539232053423,4425
01003010600,AL0000023,18.578278,15.997011226757351,0.8610599554359856,2785,1660,1564,0.9421686746987952,3047
01003010704,AL0000029,8.412809,6.152353474697958,0.7313078752528387,3881,1937,1876,0.9685080020650491,5140
01003010706,AL0000029,13.440689,3.1240852165354616,0.2324349009589807,939,1876,742,0.39552238805970147,1597
01003010706,AL0000068,13.440689,5.957748592595225,0.44326214173955103,1790,1876,1001,0.5335820895522388,2155
01003010707,AL0000068,95.951144,8.087179363106973,0.08428434540714776,421,1930,1758,0.910880829015544,4549
01003010707,AL0001005,95.951144,0.9062023923531793,0.009444414673713316,47,1930,37,0.01917098445595855,96
01003010708,AL0000029,81.509925,8.172338023814715,0.10026187637658501,1162,4845,1463,0.30196078431372547,3498
01003010708,AL0000048,81.509925,5.981593390459815,0.07338484718836161,850,4845,1258,0.2596491228070175,3008
01003010708,AL0000068,81.509925,5.7524932095715595,0.07057414430907107,818,4845,305,0.0629514963880289,729
01003010709,AL0000025,62.598355,16.723707240749558,0.26715889324487135,3112,5814,2077,0.35724114207086344,4162
01003010709,AL0000029,62.598355,3.350042541185092,0.053516462871669584,623,5814,600,0.10319917440660474,1202
01003010709,AL0000035,62.598355,4.883034031722521,0.07800578835853628,909,5814,785,0.1350189198486412,1573
01003010710,AL0000025,13.82024,0.0015620357156777755,1.1302522356180323e-4,1,2441,0,0,0
01003010710,AL0000028,13.82024,0.7948176503774197,0.057511132250772756,354,2441,70,0.02867677181482999,177
01003010710,AL0000029,13.82024,11.504153224153978,0.8324134185914266,5124,2441,2323,0.9516591560835723,5858
01003010711,AL0000028,3.550778,0.23943883225795598,0.06743278015633643,285,1320,121,0.09166666666666666,388
01003010711,AL0000029,3.550778,3.4774157759933737,0.9793391127221621,4143,1320,1315,0.9962121212121212,4214
01003010800,AL0000029,18.070804,14.409387631870985,0.7973849769977576,6225,3300,2872,0.8703030303030304,6794
01003010800,AL0000035,18.070804,1.1613612777180942,0.06426727209913262,502,3300,247,0.07484848484848484,584
01003010903,AL0000025,55.586749,4.494344162899069e-4,8.085279754171393e-6,0,3154,0,0,0
01003010903,AL0000048,55.586749,13.121322597689348,0.23605126822022546,1558,3154,2230,0.7070386810399493,4666
01003010903,AL0000061,55.586749,0.019351801959427945,3.481369626316507e-4,2,3154,10,0.0031705770450221942,21
01003010904,AL0000048,276.176721,5.596112712381722,0.020262796560546182,157,5756,746,0.1296038915913829,1004
01003010904,AL0001770,276.176721,2.691067937868572,0.009744007127481871,75,5756,200,0.03474635163307853,269
01003010906,AL0000048,39.323309,0.3772062486224807,0.009592434060482567,46,2418,16,0.006617038875103391,31
01003010906,AL0000061,39.323309,7.406572378541329,0.18835068988068446,895,2418,1500,0.6203473945409429,2949
01003010906,AL0001770,39.323309,1.0747790534654632e-4,2.7331856875662807e-6,0,2418,0,0,0
01003010907,AL0000035,40.172213,3.3143142774060124,0.08250265618690243,337,2655,371,0.13973634651600753,570
01003010907,AL0000061,40.172213,0.4004899673124604,0.009969327985801042,41,2655,135,0.05084745762711865,208
01003010907,AL0000065,40.172213,1.9954104484608672,0.04967140964977128,203,2655,316,0.11902071563088512,486
01003010908,AL0000061,30.950201,11.284831490444324,0.36461254291835854,2180,3139,1948,0.6205798024848678,3710
01003010908,AL0000065,30.950201,0.4595090134619516,0.014846721462712039,89,3139,82,0.026122969098438992,156
01003011000,AL0000035,130.503901,4.33352766455886,0.03320611591954527,181,3987,601,0.1507399046902433,823
01003011000,AL0000073,130.503901,2.943835593471192,0.0225574528494071,123,3987,376,0.09430649611236519,515
01003011102,AL0000035,45.245121,16.78234680509371,0.3709205862239535,2108,2961,2561,0.8649105032083756,4916
01003011103,AL0000035,15.713127,8.035765678939013,0.5114046159583012,1802,1887,1677,0.8887122416534181,3131
01003011104,AL0000035,17.898205,14.1163769456663,0.7887035010307625,6211,3961,3806,0.9608684675586973,7567
01003011201,AL0000035,12.315478,8.270976568377753,0.6715920054729303,3287,2246,2138,0.9519145146927872,4660
01003011202,AL0000035,13.487064,11.198325324783845,0.8303011926675699,5624,3645,3478,0.9541838134430727,6463
01003011300,AL0000035,65.679503,25.933183637526312,0.3948443951764725,2041,3919,3245,0.8280173513651442,4281
01003011409,AL0000035,53.692954,5.10171664043579,0.09501650142839581,562,3329,820,0.24632021628116552,1457
01003011409,AL0000036,53.692954,0.32986701138665947,0.006143580988050303,36,3329,85,0.025533193151096426,151
01003011410,AL0000036,111.060271,0.5019714100054095,0.004519810779188622,34,5001,79,0.015796840631873626,118
01003011411,AL0000038,41.208923,0.7149482946303063,0.017349356464140212,98,2995,188,0.06277128547579298,356
01003011412,AL0000038,22.775582,8.880286601621298,0.3899038277757863,1576,1837,1232,0.6706586826347305,2710
01003011413,AL0000038,21.220858,13.707589044663216,0.6459488605344429,2572,1730,1500,0.8670520231213873,3453
01003011414,AL0000053,7.71771,7.5939983530596695,0.983970420378541,3406,2650,2613,0.9860377358490566,3413
01003011415,AL0000053,7.776188,7.6028015918670615,0.9777029042851152,1974,1916,1869,0.9754697286012526,1969
01003011416,AL0000038,13.478257,6.937464246532579,0.514715237031953,882,2255,2181,0.9671840354767184,1658
01003011417,AL0000053,16.258441,7.719683316749855,0.4748107962350052,1199,1596,1343,0.8414786967418546,2125
01003011418,AL0000038,17.921735,5.228639059867919,0.2917484863975457,517,1747,940,0.5380652547223812,954
01003011418,AL0000053,17.921735,2.568422425734454,0.1433132688176928,254,1747,497,0.28448769318832284,504
01003011419,AL0000038,47.693268,22.505120244404488,0.4718720521396119,2432,4179,2710,0.6484804977267289,3342
01003011419,AL0000053,47.693268,12.954149767523454,0.2716138002437462,1400,4179,943,0.2256520698731754,1163
01003011501,AL0000036,38.613704,8.460832717058288,0.2191147660182584,1581,4007,2437,0.6081856750686299,4389
01003011503,AL0000036,24.911318,13.601691652891155,0.5460044969475784,4085,3721,3003,0.8070411179790379,6038
01003011504,AL0000036,26.999772,4.487883503065421,0.16621931115068014,1069,3393,862,0.2540524609490127,1634
01003011601,AL0001490,234.596822,3.83860901850916e-4,1.6362578937702576e-6,0,5881,0,0,0
01003011603,AL0001490,55.750702,7.207092549533613,0.12927357487863764,426,2490,1610,0.6465863453815262,2132
01003011604,AL0001490,25.735587,3.9855341233148756,0.15486470634281144,442,2659,1136,0.42722828130876267,1219
01005950100,AL0000085,485.23414,4.0542713646091055,0.008355288777927097,26,2509,627,0.24990035870864885,781
01005950100,AL0001460,485.23414,0.1504680949927465,3.1009379305575345e-4,1,2509,11,0.00438421681944998,14
01005950200,AL0000082,517.006044,8.918905699342371,0.01725106660328012,58,2285,733,0.32078774617067835,1079
01005950200,AL0000087,517.006044,35.97133968582747,0.06957624597098032,234,2285,154,0.06739606126914661,227
01005950200,AL0000089,517.006044,0.1239289107026715,2.3970495536928675e-4,1,2285,15,0.006564551422319475,22
01005950300,AL0000087,352.796712,73.05797359737909,0.20708235398004243,284,1869,404,0.21615837346174424,296
01005950300,AL0000088,352.796712,5.551387785138853,0.015735372797745496,22,1869,395,0.21134296415195292,290
01005950400,AL0000081,343.319539,0.32096098320259464,9.348753762674563e-4,4,2695,29,0.010760667903525046,43
01005950400,AL0000083,343.319539,4.833269538719489,0.014078049716592125,56,2695,371,0.13766233766233765,550
01005950500,AL0000079,333.715685,4.760309939394967,0.014264567574625587,44,3597,822,0.2285237698081735,710
01005950600,AL0000085,101.691408,1.5153542301037846,0.01490149718552215,28,1378,417,0.3026124818577649,562
01005950700,AL0000085,127.211867,2.6360483528123244,0.02072171736000325,33,920,617,0.6706521739130434,1066
01005950800,AL0000085,14.729758,7.688424046893389,0.5219654013931111,1135,1182,1091,0.9230118443316413,2008
01005950900,AL0000085,16.454996,15.928715232345327,0.9680169616781023,4490,2064,2008,0.9728682170542635,4512
01007010001,AL0000097,232.455317,5.141321898359128,0.022117463109519356,58,1605,182,0.1133956386292835,299
01007010005,AL0000093,63.483743,7.319309467860251,0.11529423316864368,485,2264,721,0.31846289752650175,1339
01007010005,AL0000097,63.483743,6.287414823068994,0.0990397624013599,416,2264,711,0.31404593639575973,1320
01007010006,AL0000093,117.154853,0.5647666127844722,0.0048206847460640165,8,964,43,0.044605809128630707,77
01007010006,AL0000097,117.154853,4.692176991328597e-5,4.0051068062273074e-7,0,964,0,0,0
01007010007,AL0000091,390.852616,2.1976387417437016,0.005622678860984524,13,1775,259,0.14591549295774647,347
01007010007,AL0000092,390.852616,1.3949404039474083,0.0035689678074136474,8,1775,203,0.1143661971830986,272
01007010007,AL0000095,390.852616,0.12742270633113126,3.2601216191202684e-4,1,1775,10,0.005633802816901409,13
01007010008,AL0000091,300.817002,9.704292605826387,0.03225978764932438,89,1883,498,0.26447158789166225,733
01007010008,AL0000092,300.817002,8.685072828704918,0.028871615536893484,80,1883,483,0.25650557620817843,711
01007010008,AL0001172,300.817002,4.214666102335107,0.014010731023557993,39,1883,56,0.02973977695167286,82
01007010009,AL0000091,66.539142,9.113151359030294,0.13695925563678435,339,1277,853,0.6679718089271731,1653
